x,y,fitness
100,100,-149.62137295349197
117,35,-875.0774799531662
104,45,-202.8245200305858
107,39,-117.40539242620609
120,29,-516.718210025849
110,89,-391.1837622393142
108,38,-118.66469950682509
106,46,-127.8512432643803
107,40,-64.73261713582392
108,39,-119.91647319336667
109,37,-123.72834358216559
114,92,-14.807520162017994
106,43,-128.3767875269525
113,70,-110.21390063164054
127,61,-410.30152916670255
112,78,-84.51949509461002
115,46,-393.6009223534983
105,99,-298.71563513529156
105,59,-11.821123443806457
112,40,-335.34951018274216
104,44,-213.16382629160066
106,40,-8.159557844495609
108,37,-159.31700721645439
112,46,-201.59291460653318
105,40,-218.42224441339474
113,54,-112.57104170514202
112,41,-319.60586574274157
82,51,-185.24687450741402
116,57,-402.50165016349695
110,41,-117.14225689235874
111,44,-126.89242371498257
109,41,-113.41862499000952
107,42,-109.79953703210666
99,78,-337.33397378598283
111,87,-379.0734079682834
112,92,-394.9041649095246
100,99,-363.0050199624598
104,74,-332.39627911309265
105,88,-315.3250273995882
111,80,-51.72728780502622
109,40,-110.07951833228461
109,39,-109.5699638593359
109,44,-124.44450139581255
109,55,-99.20963586418716
105,43,-167.52041699071037
105,36,-285.0134338261109
107,41,-12.626449648772677
108,40,-116.17675926665632
118,53,-436.8939931155603
110,44,-125.70702151266237
107,48,-95.60610012134397
106,38,-199.0102546581104
109,50,-114.89119451503404
108,45,-119.15237396199822
110,45,-181.15520291018765
106,42,3.4542782299270414
104,55,-175.7974961534244
96,99,-400.3441590643331
108,43,-124.61385391310768
110,38,-278.7181047301081
108,44,-108.9426413182492
106,39,-11.503389855282293
111,56,-100.22458560176989
109,51,-112.59059602056023
109,66,-54.66428061120523
109,36,-266.8174515387075
87,81,-486.2755653161737
105,49,-210.78284211977515
108,47,-96.4288995581603
99,64,-31.593814955443804
108,51,-84.48693453143976
114,62,-98.94340531777392
111,62,-100.40540782523959
107,58,-83.02519274680103
111,95,-205.41240755637446
112,90,-388.6435248733904
111,43,-126.56933370893618
88,63,-394.2400254774448
113,66,-84.45272001166629
104,96,-331.85530517790323
103,94,-407.5710616117205
112,66,-76.25650309701263
108,52,-86.04980406693164
98,63,-246.1822173479151
112,38,-355.97301270269514
114,38,-593.7642075309703
111,40,-308.45547612584454
120,68,-247.4203855716745
110,37,-316.1007592338462
110,43,-167.4744888749935
92,59,-369.58034278193094
99,51,-299.6941364500305
110,42,-131.4064090445604
106,45,-16.821630261719434
108,46,-108.71487503570212
104,89,-310.7559161273161
100,47,-256.48689885651277
115,47,-245.77420690208317
112,42,-300.4715787718519
116,69,-123.35171679561778
107,53,-81.84938505895447
113,53,-125.56442801084918
109,52,-99.71650818870607
103,63,-244.52695495403984
114,43,-289.82310918597966
122,77,-102.2024073225277
105,39,-254.2021626053758
108,91,-12.138213741017196
110,62,-83.40054352851104
103,64,-321.45077249067344
108,41,-112.55430386897926
120,62,-152.6155475786677
105,42,-188.95698103558036
121,83,-1061.95076057104
118,70,-99.7014410175649
110,60,-85.96561722947038
111,66,-94.39302111162866
112,67,-101.14254744300804
118,65,-133.73934438520587
106,49,-5.503906061579485
124,73,202.5187567124613
111,41,-294.83909828953404
108,62,-70.89520724194385
127,69,-336.7989972050311
100,48,-179.39059098224783
100,67,-285.3597069530499
108,42,-118.01519134811849
104,47,-238.77939810464488
125,70,-343.19059351992945
111,39,-191.9800730466559
109,35,-321.35775503358457
105,72,-45.406302530318214
103,50,-225.32366076018303
116,41,-357.2710310024829
101,99,-342.16636346933757
113,45,-306.1115944136313
101,45,-299.0152698513913
107,51,-93.49502597745885
104,51,-203.08271759890096
109,49,-100.07631088053785
132,105,-473.9339277981053
101,60,-261.1672037798185
112,43,-315.60981019768735
111,48,-185.57003673291172
107,72,-49.29929708512044
110,85,-453.01459250175856
110,72,-42.362839366156436
108,60,-68.7181643123172
99,41,-310.3569374494428
130,71,-366.9255712942898
88,51,-347.64274517403896
104,46,-198.14551930570786
110,40,-242.51316097974677
107,44,-105.41619454125149
103,38,-307.7536022609428
129,101,-196.16591078646232
108,73,-42.11205386975327
117,67,-137.6139674018662
110,63,-83.46497766606456
109,54,-93.54248386372421
90,56,-359.2633512293172
