x,y,fitness,x position,y velocity,model
54,47,22.519631317861666,0.12,-1.59,"[-0.18190896 -0.11105495 -0.02345782 -0.04108965 -0.01064018 -0.12120948
  0.06589008  0.14093472 -0.0845615   0.02386413  0.03034441  0.07983349
 -0.12792969 -0.00859307  0.07093933  0.08798789 -0.01547278 -0.07018401
  0.12389517 -0.07791486  0.01919491  0.07626002 -0.01815887 -0.09609995
 -0.05526264 -0.00614346 -0.06925509  0.05272012  0.03506028 -0.01815434
  0.01490792  0.01537409]"
65,74,175.505797600743,0.45,-0.78,"[-0.04826031  0.06128441 -0.36112798  0.20009587 -0.43885313 -0.1223137
 -0.2178034   0.04713898  0.04296715 -0.34849576  0.44546634  0.01254411
 -0.60312943 -0.08006162 -0.29492886 -0.37507911 -0.16324945 -0.23547557
 -0.15520636 -0.5950627  -0.23557064 -0.30974834 -0.02219726  0.09255517
  0.04760473  0.01547254 -0.1730677  -0.048414    0.24308182  0.02064615
 -0.02194229  0.02622866]"
56,43,47.28807736649338,0.18,-1.71,"[ 0.51067483 -0.13752602 -0.20495204 -0.29930389  0.52945613  0.02906391
 -0.43913654  0.56840727 -0.02582373  0.84974486  0.83473761  0.39423465
 -0.8339271   0.41732486 -0.43070704  1.59955544 -0.19418473 -0.68574459
  0.83279161 -0.83012099 -0.44621869 -0.53381927 -1.10292729  0.87916346
 -1.16821488  0.76911962 -0.91047548  0.21399228  0.06882822  0.73602544
 -0.6840268  -0.49343327]"
57,88,254.19587976141668,0.21,-0.36,"[ 0.36420713 -0.19501636 -0.04191647 -0.00216288  0.70078722 -0.04713439
 -0.0592053   0.24421659  0.17735384  0.27922722  0.36650446  0.45272632
 -0.25433858  0.11724185 -0.03312293  0.54806125  0.11436989 -0.8752113
  0.58109063 -0.76620373 -0.17267996 -0.59124428 -0.45129273  0.51032973
 -0.29861953  0.32027861 -0.4997339   0.15167207  0.26251388  0.92241154
 -0.05044641  0.55748167]"
47,87,274.3670719511165,-0.09,-0.39,"[-0.25936463 -0.23076223 -0.35730595  1.2599038  -0.09303913 -0.42504779
 -0.22653333 -0.18896049 -0.17947178  0.41955141  0.73041291  0.05727035
 -0.63589535 -0.34867492 -1.17240943  0.38647964  0.741979   -0.01099928
 -0.05834302 -0.56350357 -0.18438951  0.95291091 -0.32334006 -0.11782946
 -0.71600731 -0.03535301 -0.76250292 -0.02663455  0.2379461   0.06501114
 -0.81638572 -0.07736722]"
61,95,183.00484338406898,0.33,-0.15,"[-1.16397083 -1.05391481  0.39795158 -0.32098983  0.16595894 -0.7604933
 -1.02616565  1.54297311  0.52198463 -0.28202149  1.15816846  0.54317949
 -0.1327915  -0.52579368  0.71436163 -0.80757284 -0.10320538 -1.66504732
 -0.14100392 -1.41649805  1.09775328 -0.73932265 -1.73528796  1.16627195
  1.18014666  0.12562222 -1.36139095  0.14842525  1.33589013  0.76703791
  0.55809067 -0.34236496]"
60,34,-153.62626128344738,0.3,-1.98,"[ 1.87154263 -1.47008934 -2.3751583  -3.29417027 -1.57081843 -1.60517311
  0.89889358 -0.89815382  0.90492202 -1.07262655  1.61956889  1.85866376
  1.37234612 -1.40556682 -0.02925505  0.64287679 -1.34622318 -1.12188081
  3.0370539  -1.20236332  0.83701893  4.66841551 -0.93602591 -0.45318977
 -2.34785962 -0.80184738 -0.23689971  1.0842134   3.34992683  0.64156073
  0.19758227 -0.25378932]"
52,92,260.8686310393465,0.06,-0.24,"[-0.04339987  0.06189553 -0.09585004  0.05641562 -0.15459015  0.09714528
  0.08377566  0.08924664  0.05621731  0.08340293  0.08905008  0.07374125
 -0.36717038 -0.0175872  -0.28469983 -0.19426558 -0.04154253 -0.12489631
 -0.13697081 -0.34264064 -0.31797713 -0.11475682 -0.05508462 -0.00546747
  0.03794509  0.14794784 -0.2121433   0.16997439  0.15748052 -0.04497634
  0.02180093  0.05581352]"
51,52,21.031053764053624,0.03,-1.44,"[ 0.14712325  0.12471228 -0.01170137  0.05529297 -0.08755036  0.2079201
  0.19554464 -0.13852786  0.03767988  0.27935625  0.23932976 -0.00959263
  0.03191605 -0.52424708 -0.03475207  0.47778576  0.27107575 -0.04657818
  0.17633973  0.05474287  0.26012238  0.09115064  0.03760017  0.22390718
 -0.1346188   0.07184708 -0.35479229  0.10465073  0.17529766  0.1290669
 -0.02329484 -0.18995995]"
59,36,-143.43174383601973,0.27,-1.92,"[ 0.51352147 -0.39066636 -0.19651766 -1.93322012 -0.62170268  0.21371188
 -0.1158717   0.00620789  0.88536766  1.2632864   1.07053489  0.67620353
 -2.73835654 -0.45652107  2.25484799 -1.6918812   0.35623079  0.41253823
  4.68889674 -0.42358105 -1.52567822  2.38067605  1.38069066 -1.16711061
 -1.69084753  0.17052651 -2.25772706  0.02148662  4.30337345  0.49497468
 -0.76581921 -0.22233729]"
55,38,-114.68901385205265,0.15,-1.86,"[ 0.14015902 -0.85743759  0.17296781 -1.04785649 -0.06696334 -0.07314761
 -0.51390999 -0.36304548  1.04480639 -0.22035475  0.56927325  0.83472816
 -0.75414892 -1.11415988  1.79193919 -1.56692553 -0.09948026 -0.63791156
  1.61151896  0.11936621  0.45779807  1.45406452  0.66631083 -0.07151786
 -0.51425662 -0.64640991 -1.35093371  0.14305234  2.06133472  0.10475013
 -0.20140774 -0.98228813]"
62,56,-95.72120404926295,0.36,-1.32,"[-0.10792704  0.0717182  -0.09762437 -0.10310003 -0.30905703 -0.09538626
 -0.14595635  0.01056833  0.0980824  -0.36828919  0.4559057   0.0612144
 -0.64421136  0.08741283 -0.43298899 -0.36027222 -0.10468179 -0.16506057
 -0.19375524 -0.41792677 -0.4779357  -0.32360716 -0.04465913  0.02190518
  0.02377138 -0.03058709 -0.19433826  0.04291246  0.37416251 -0.11876921
  0.11870155 -0.06327132]"
55,45,-19.818940428144046,0.15,-1.65,"[ 0.0457085  -0.1203341  -0.05349299  0.07726666 -0.0252187   0.04394157
 -0.01248092  0.0310238  -0.07497502  0.10680171 -0.00149879  0.06911124
 -0.12885175 -0.04677691  0.09347022 -0.02424654  0.01294281 -0.0957774
  0.12376859  0.00842    -0.01702455  0.03257264  0.06362715 -0.15810166
 -0.12063545 -0.06406316 -0.07563946  0.0216279   0.11720114 -0.028409
 -0.10109093 -0.0095444 ]"
42,61,-72.07902941988883,-0.24,-1.17,"[-0.21518904 -0.01483215  0.01500769 -0.01121553 -0.1129711  -0.13565115
  0.19036627  0.14305591  0.15373634  0.09067442  0.27258596 -0.05266367
 -0.2972282  -0.40275601  0.04873408 -0.01234815 -0.14646447 -0.06208014
  0.33019957 -0.21146577  0.37004224  0.21712383 -0.16894517  0.08813048
 -0.07064467 -0.05706019 -0.32838459  0.10070339  0.10423384 -0.04359633
 -0.14506074 -0.06637978]"
54,40,-101.34452217706772,0.12,-1.8,"[ 0.61856781 -0.28075201 -0.19823874 -0.84825031 -0.655391    0.25687045
 -1.21188603  0.03655069  1.30433846  0.02050034  0.80614816  1.17206435
 -0.94335551 -0.82966441  1.15796399 -0.6242853   0.42903892 -0.30099687
  1.27723874 -0.22352687  0.57583584  0.70269866  0.82414878  0.09262487
 -0.327541   -0.17196804 -1.41284191  0.60666977  1.2963569  -0.92863404
 -0.12334783  0.21565228]"
60,35,-151.11515580592993,0.3,-1.95,"[ 1.67649648 -2.14007124 -2.7194682  -1.77461513 -0.95881352 -1.66915649
  0.07237533 -0.92351232 -0.08975016 -2.49787749  2.24249023  1.65381824
  0.27377655 -2.39328182  1.12767717  0.48727058 -1.89307724 -2.4615696
  2.53617831 -1.45447147  0.14099594  2.83532117 -0.6966888  -1.10908112
 -1.26229894 -2.33199601 -1.64083732  0.48847052  2.89663831 -0.57965411
 -0.46808055  0.27909983]"
64,38,-122.97025243056717,0.42,-1.86,"[-0.0826258  -0.15778233  0.39395743  0.51109782 -0.38765749 -0.35700219
 -0.15625561 -0.14856307 -0.17156238 -0.16572385  0.14011263  0.09487061
 -0.25920132 -0.34231639 -0.05629423 -0.21817531 -0.35807291  0.29255386
 -0.44632446 -0.16840302  0.63346025  0.29888541 -0.06483495  0.0577569
  0.39145048  0.00690832  0.29840889 -0.30478044  0.67103204  0.17715515
 -0.22122604  0.41723597]"
56,40,43.57129930789017,0.18,-1.8,"[ 0.48437853 -0.26998912 -0.28758862 -0.24841776  0.59485833 -0.0529952
 -0.32392036  0.49085892  0.10670327  0.79875301  0.79208315  0.50795178
 -0.74043539  0.25496465 -0.62326465  1.37718993 -0.20558211 -0.69841416
  0.59708952 -0.83080271 -0.52569515 -0.74197597 -1.12138021  1.0512382
 -1.11703124  0.7210187  -1.07243967  0.22136698  0.08301674  0.43187504
 -0.53557246 -0.42288044]"
69,41,-169.10081498698148,0.57,-1.77,"[-0.01715484 -0.04924041  0.24552963  0.41004988 -0.41986854 -0.01148248
 -0.03139802 -0.39098984 -0.35377052 -0.24079155  0.03621786 -0.35727718
 -0.14623452 -0.42909933  0.07022609  0.02315371 -0.08168154  0.12503858
 -0.09051709 -0.15443057  0.67190747  0.19552125 -0.39220378  0.27077276
  0.227057   -0.06788417  0.05172915 -0.02053027  0.42882898  0.32284343
 -0.00995007  0.0179327 ]"
55,39,-96.47532932130837,0.15,-1.83,"[-0.41898644 -0.17136736 -0.18107294 -0.07161155  0.00512304 -0.35053776
 -0.03022378  0.28954928  0.04038837  0.0670219   0.05012767  0.34920708
 -0.4515122  -0.61159292 -0.04638706  0.28977929 -0.37155685 -0.1296072
  0.43412627 -0.25994417  0.24507143  0.39625854  0.23267515 -0.06945803
 -0.28107877 -0.07216195 -0.54559651 -0.19563875  0.17133381 -0.02184593
 -0.25749239  0.12552974]"
69,28,-198.30049381618056,0.57,-2.16,"[ 1.87797037 -1.8238754  -2.88840432 -1.62011943 -1.55136014 -1.47536091
 -0.34396138 -0.62276516  0.59925569 -2.95115343  2.17994505  1.29023609
 -0.15039578 -2.54064621  0.83574596  0.08162573 -2.76524674 -2.38937083
  2.61122663 -1.20397215 -0.09562142  3.72551339 -1.15465303 -1.12971923
 -1.25938395 -2.01233773 -1.34094657  0.68105733  3.31780482 -0.34746876
 -0.85679488  0.30147321]"
43,99,222.57261859781335,-0.21,-0.03,"[-0.08842924 -0.07925966  0.60892866 -0.17522492 -0.13503896 -0.24047978
  0.06342058  0.13624915  0.02153833  0.15807971  0.25859292  0.19430002
 -0.17129804 -0.18865872 -0.2602861  -0.03623937  0.10299062 -0.15748108
  0.17017864 -0.420654   -0.16243112  0.24639883 -0.09818047  0.11830812
  0.17840194  0.16716076 -0.08911763  0.38126788  0.26699286  0.29002124
  0.34652258 -0.17784122]"
69,60,-112.24169432580987,0.57,-1.2,"[-0.17683128  0.16640274 -0.27792401 -0.00318907 -0.25744709 -0.10956364
 -0.08270344 -0.12897467  0.20963895 -0.51157616  0.37507854 -0.03355507
 -0.6776434   0.07444897 -0.3878152  -0.47042003 -0.15422745 -0.14128847
 -0.1588969  -0.53341209 -0.5369958  -0.48064024 -0.00857345  0.25598092
  0.14239758 -0.11707354 -0.31965138 -0.09336381  0.33288207 -0.03602515
  0.00245881 -0.016924  ]"
51,98,277.6812874488888,0.03,-0.06,"[-0.60634303 -0.07010574 -0.0135521   0.3189661   0.12191649 -0.30278261
  0.24641654  0.2831758   0.00174125  0.26509224  0.04169037 -0.02825487
 -0.49428892 -0.29331538  0.3592727  -0.82323291 -0.01751387 -0.44249295
 -0.03613343 -0.8346743  -0.49594572  0.83089689 -0.73745882  0.36868072
 -0.27876023  0.10566248 -0.44704618  0.0325602   0.51854708  0.06925737
  0.0699492  -0.22688997]"
