x,y,fitness
45,66,-6.1601245306034995
56,33,-15.407035667125367
77,43,-7.678223747478778
60,50,-4.688996965473161
48,62,-5.173769067772109
49,33,-17.910488590389157
56,58,-3.0622637277131934
54,47,-7.497789425132291
52,53,-5.781495765375956
49,59,-5.274285002160072
37,57,-12.283615908349482
43,52,-10.262367876993535
61,43,-7.897911139044498
44,35,-18.856853200862496
54,57,-3.9559648891808417
44,39,-16.07298682039923
52,47,-8.288893235320256
34,55,-14.982434094705138
48,56,-6.455625234423941
52,45,-9.224683467876975
43,57,-8.663063341510549
42,37,-18.647593440701417
66,56,-1.9222072249036726
45,35,-18.26928095552465
69,55,-2.0717947144401636
43,45,-13.164623506311429
54,51,-5.774058732886191
45,63,-6.445013436495957
59,39,-10.509334317309275
56,51,-5.266472499568756
49,53,-6.938068164108119
55,34,-15.039404792799285
33,39,-23.434774134143034
40,61,-9.605239234133764
49,41,-12.511985121241931
44,63,-7.01354638460977
61,50,-4.471895413328926
44,30,-22.54215461247174
46,37,-16.37800319661925
45,32,-20.435914009361326
57,49,-5.7910730391954965
60,40,-9.764790583820849
75,53,-2.9720765278522587
68,53,-2.719484310271094
43,77,-7.687217125066134
52,48,-7.777052769419063
56,55,-3.8766489286532697
49,42,-11.978753559064872
44,34,-19.472576285750062
58,47,-6.360526986655651
58,56,-3.057186590124507
54,46,-7.989369435593652
38,46,-15.754758635269976
49,45,-10.371159464345274
64,42,-8.004607377245
37,40,-19.80489995521033
51,43,-10.657174510508781
71,51,-3.4851811172832807
58,58,-2.5577841171584623
53,52,-5.869169773541124
39,33,-23.209011235573804
58,42,-8.977091622599737
53,60,-3.60803372031908
69,49,-4.273653211123885
70,50,-3.806820977925355
59,32,-15.497228432669623
52,43,-10.188894142679763
58,41,-9.598944448348396
65,39,-9.66656185623907
59,27,-19.77906225744108
59,60,-1.9312059498717637
61,37,-11.478987150087153
50,62,-4.437008799542499
28,54,-20.12482925529904
36,48,-16.29846557551175
39,45,-15.52184700741385
54,37,-13.188930848440648
46,61,-6.3005525891130345
59,58,-2.3403909259249174
55,58,-3.3899872106107742
30,46,-21.576817881687486
37,72,-10.789574803033277
35,39,-21.666000609684275
66,41,-8.324688938719097
69,53,-2.7158188701274293
45,51,-9.526882104851094
53,28,-20.533349249488086
59,44,-7.759277974610983
49,54,-6.610080158954179
60,53,-3.6068616918067864
53,43,-9.791356421077534
54,38,-12.596874109855033
43,36,-18.70993550417444
51,31,-18.564278495141078
32,54,-16.821375267227555
46,55,-7.6407477511517925
39,29,-26.410803357306555
62,51,-3.988914414556721
40,62,-9.452877167294579
40,39,-18.296279118889224
53,54,-5.175856658822427
50,65,-3.9639305330021117
49,48,-8.925884059367348
59,41,-9.305876469098303
43,46,-12.801365723606185
37,28,-28.490087729928344
52,46,-8.686966777508895
56,32,-16.23646089379475
65,48,-4.817429461055601
52,52,-6.146710417051466
35,50,-16.013933590135117
63,48,-5.10792373214312
41,40,-17.15193253780557
37,41,-19.15586985904534
24,56,-23.164681752847606
58,38,-11.41251728608857
39,83,-11.364114985364992
45,44,-12.830362488500342
69,52,-3.0406918038657302
46,45,-11.742019683285417
56,62,-2.333916508458674
34,35,-25.088176343600786
63,53,-3.104129511452955
55,40,-10.947392900120555
58,61,-1.9790656960213382
56,56,-3.5754224055087453
45,54,-8.493471363049045
49,52,-7.2683300990592645
41,60,-9.140147806528494
44,25,-26.920358059626217
39,67,-9.507035636156674
51,34,-16.342012861751577
52,42,-10.837477300725649
31,50,-19.051913392377678
58,60,-2.1921853085897105
39,38,-19.66363160121879
31,33,-28.960619717313833
40,41,-17.247081395973066
50,41,-12.141220981339497
54,48,-7.068588398121967
43,41,-15.440559577832273
59,66,-1.1976777249325825
39,32,-23.996957353956667
63,66,-0.4944419965335919
50,43,-10.9167402662446
45,38,-16.202669391082775
41,39,-17.818505114831787
50,50,-7.634660446267401
47,47,-10.24767117423351
43,53,-9.922171320900254
61,53,-3.458089745120076
55,59,-3.157952198766869
42,41,-16.13857259485624
61,66,-0.7724370284745172
43,42,-14.962660711610937
60,37,-11.691235945640562
23,51,-25.74351551272964
47,40,-14.004499530913543
32,29,-31.34326524389981
52,54,-5.444059271301006
66,51,-3.5585405265495056
49,61,-4.903386959557613
37,59,-11.963071800882949
55,26,-21.664977900461047
72,60,-0.9155437648173375
69,45,-6.063414939703157
79,36,-12.301212169394596
58,48,-6.048684737123581
58,36,-12.77394001985054
48,61,-5.340462418886849
62,48,-5.1856521919004415
57,51,-5.033595985875575
71,56,-1.830875731130474
60,59,-1.9160926177263478
32,62,-14.949096834332611
46,50,-9.415119787736176
34,70,-12.858962477960203
73,56,-1.8910656278958435
43,66,-7.2410888811696745
41,64,-8.543889643177048
48,33,-18.300033936950086
57,37,-12.318741176931582
43,44,-13.865367948785776
45,43,-13.228099830926428
59,56,-2.8966537195521114
56,43,-8.90788140210403
67,43,-7.1638201555885885
40,35,-21.003177685877077
52,56,-4.843817334376189
42,79,-8.639202248285539
37,54,-13.158740079788988
40,59,-10.06724210060147
34,41,-21.31018134186936
61,61,-1.425494441378633
47,73,-5.195260506770252
43,63,-7.556727659640179
56,63,-2.166937762951313
57,34,-14.49569355249751
63,29,-17.251472470573948
49,57,-5.755152994399117
54,40,-11.209728926272248
51,29,-20.469636597317503
25,54,-22.76528374478726
60,32,-15.259385148819474
41,57,-9.758235810544804
70,57,-1.5148408151175727
48,68,-4.6496714805576715
43,34,-20.00284511614219
45,77,-6.583839584980607
67,49,-4.260618317766119
38,35,-22.300979738725943
58,50,-5.156230234065771
66,57,-1.6374320887878133
34,42,-20.552734773961554
62,59,-1.611719857403946
46,54,-7.960157161900088
30,27,-34.491219100848895
49,72,-4.265296224767947
62,54,-3.027008052222415
50,64,-4.094225728196979
35,37,-23.24860960120204
36,44,-18.160485218489843
64,69,-0.2670501708796297
45,31,-21.33378666846178
57,53,-4.266126411117366
36,32,-26.04963792408891
62,43,-7.666989445733889
56,60,-2.728265240492972
64,33,-13.905083752128608
60,42,-8.51525419874781
52,55,-5.169009143881626
39,43,-16.539480932243297
65,40,-9.047926870543971
63,59,-1.4717526258426834
38,39,-19.595087365470974
34,49,-17.07383394693057
71,57,-1.539475149099119
63,63,-0.792615699386554
53,40,-11.576067422547302
32,28,-32.17710312679592
50,38,-13.978017957977606
33,60,-14.537503706963497
30,38,-26.222851562131694
50,51,-7.250270934062728
61,44,-7.335181010232947
35,21,-36.537559158385065
49,36,-15.690946056925428
46,41,-13.812742350934554
36,50,-15.273361001849551
46,56,-7.447554185440308
39,58,-10.807969524893345
35,51,-15.592115433555136
54,54,-4.742090253779018
29,67,-16.839963153074894
67,53,-2.753824006397433
29,51,-20.2658792556021
46,53,-8.270281821198827
45,56,-7.908673254091673
33,55,-15.746168784187848
51,63,-3.8640283044573036
58,52,-4.407833454450838
44,51,-10.06189363818393
37,38,-20.968692030892896
32,47,-19.471557543697593
39,50,-13.274321645806548
67,39,-9.525323837440945
44,50,-10.382796825434673
71,43,-7.10362874681672
28,51,-21.151658827437
39,54,-11.802241930083275
