x,y,fitness
46,39,-15.294807962729662
46,54,-8.061122469179727
43,43,-14.609142819211371
37,56,-12.71634345005931
52,48,-7.947063219607426
49,44,-10.950871746258759
69,40,-8.995479786718825
61,41,-9.04944123194829
43,50,-11.05713247876249
51,74,-3.7784078692357235
55,35,-14.590390014670202
57,46,-7.190065682741484
43,49,-11.408173311733648
45,56,-8.064448594053323
46,65,-5.900596689061014
57,51,-5.1642003697365455
41,35,-20.83654555098272
36,53,-14.156692471853841
50,47,-9.045012873909041
45,42,-14.040007278264888
52,41,-11.511176571663174
47,48,-9.763714620832012
36,46,-17.272576659521192
56,44,-8.580624676912326
42,46,-13.488005160463256
50,41,-12.469358994025374
49,53,-7.08170983519399
53,38,-13.067175991222028
46,57,-7.317254765781668
38,29,-27.140632566025463
49,47,-9.569989500606098
45,81,-7.8478727588027795
45,62,-6.6261132736985955
53,49,-7.230925482845491
54,48,-7.125320363402871
56,59,-2.9934168396301972
38,58,-11.76858273578884
57,34,-14.784072385359792
55,61,-2.9281165634529103
50,45,-10.180557769409251
41,61,-9.273802192128175
54,36,-13.994296822787854
41,55,-10.369459096187464
43,57,-8.74849301384334
65,49,-4.435111464030725
45,63,-6.56820629797341
71,49,-4.2391176443059
55,51,-5.695574974639715
64,45,-6.445067758751775
37,58,-12.154228567896844
50,56,-5.766469155880554
60,56,-2.786479648579439
53,56,-4.586625883068593
52,56,-5.02781375442525
50,55,-6.113108724189065
36,59,-12.711185714985904
52,50,-7.097063335181494
72,39,-9.56106846110855
46,73,-5.768070767566437
42,48,-12.332901192603956
51,61,-4.246273467446976
45,49,-10.325266241874107
55,47,-7.352551987478309
52,62,-3.835497004360298
43,44,-14.440134167402986
49,43,-11.412340824139445
30,47,-21.7097766649352
36,28,-29.483522850565226
58,44,-8.03490837105103
46,52,-8.858610897078748
55,60,-3.0148336199836794
58,46,-7.056186286725751
41,54,-10.992597597572994
67,55,-2.1530208708543923
48,56,-6.763810658873675
55,46,-7.780978940806456
47,58,-6.60671059381256
63,53,-3.218904800165879
47,59,-6.360945461013544
51,44,-10.084842818593108
60,43,-8.043810882485712
40,50,-12.75145970805765
64,47,-5.394464825423896
60,50,-4.748854852483223
40,43,-16.204967308966655
61,56,-2.692803853457451
55,58,-3.4055781214358385
39,36,-21.408929135378465
64,48,-4.9806343685351395
44,61,-7.390358621346654
48,36,-16.136949007990193
66,44,-6.841747582934652
35,48,-17.010296218440704
58,41,-9.969924290327194
53,65,-2.9197503757968346
51,54,-6.125031660190036
62,49,-4.9609892036435586
47,60,-6.107503071973345
45,46,-11.891102066540267
46,51,-9.057615404950063
54,53,-5.344683474081911
38,48,-14.898956150120647
60,47,-5.95017583994341
44,38,-16.68644811053683
58,39,-10.888578797503735
44,49,-11.21380057532976
48,31,-20.13364136359097
35,43,-19.75940200774034
33,47,-19.120446803592774
53,44,-9.436399344436293
61,57,-2.3534723060019163
52,28,-21.100486268203365
56,31,-17.37662592244292
63,63,-0.8769824396994922
39,45,-15.864721999440057
59,35,-13.291072304765462
76,32,-15.287632974407014
36,47,-16.55736277344612
50,53,-6.718626719936831
50,40,-13.230901165238087
51,43,-11.042937503733732
36,52,-15.163263947633032
46,58,-7.051296819062244
41,50,-12.472568368043593
51,30,-19.682568567266784
36,31,-26.90824531370812
43,23,-29.424298569479717
40,49,-13.356264368392639
46,56,-7.481036375856734
50,61,-4.5977897722563785
51,47,-8.734503728742684
66,45,-6.18495743047325
55,40,-11.274572006662163
42,43,-15.163369606447587
59,47,-6.360259098104028
64,42,-8.123975077940006
42,19,-35.08443986785648
45,61,-6.946741505127055
52,59,-4.233618055098905
74,42,-8.009286864284526
57,55,-3.633352068135885
37,57,-12.452881363931661
44,64,-7.124969240643898
41,47,-13.569161721852549
70,54,-2.4525133887692663
41,32,-23.47949674013259
47,62,-5.747780683989221
54,61,-3.085062539905765
36,50,-15.252452710894046
44,32,-21.20270167980689
38,41,-18.51925701950815
57,47,-6.809641327678867
67,50,-3.844669195394538
37,63,-11.169801863403222
43,22,-30.59726358793455
55,52,-5.121703569710211
53,34,-15.64017123887853
56,36,-13.41292170941955
73,43,-7.352357891445532
57,56,-3.471666783425163
61,40,-9.5943986575145
64,54,-2.690092948368462
53,36,-14.220153522141326
31,47,-20.468863737842582
41,64,-8.754431618850042
45,32,-20.768792190712663
51,33,-17.11215579166191
72,52,-3.182722932639104
68,38,-10.257843111496884
50,35,-16.106145586180467
35,61,-12.972040416348186
53,69,-2.698026677295236
53,39,-12.280261375459748
50,37,-14.895472368862503
53,62,-3.3004036586889933
31,58,-17.10851093882565
51,55,-5.640205623621529
54,39,-12.018287400872406
48,35,-17.409759190276883
31,35,-28.108708252733507
45,24,-27.598376374482665
32,64,-15.121517124495332
49,48,-9.175139855845199
50,62,-4.39933435902142
51,51,-6.878853586537169
60,60,-1.736580358620702
76,37,-11.276130251390233
39,56,-11.487952497818734
34,22,-36.85623255926885
47,34,-18.151360258866582
51,57,-5.207590291211959
78,52,-3.8975192603014075
64,40,-9.112435023677662
57,58,-2.8688730419777086
34,49,-17.827519652058868
54,45,-8.579803826223838
50,58,-5.3235166456956335
51,64,-3.7243806388507186
30,54,-19.008338039074843
36,61,-12.553390319114046
61,49,-5.100896760447227
41,41,-16.73256758393947
48,27,-23.454899407389465
49,59,-5.2875996746583285
47,50,-9.237620563254612
37,29,-27.751586506614238
46,55,-7.884521725576196
37,49,-15.336124634348659
46,40,-14.556961964447641
39,69,-9.67764594944971
55,39,-11.91655885065758
45,53,-8.833894090251757
47,51,-8.611682694743225
68,49,-4.406243509331562
43,38,-17.97795188932715
45,48,-10.887843742621616
47,36,-17.096935065570413
69,41,-8.5698477066959
58,38,-11.538168902120109
25,20,-47.30246880854331
59,70,-1.1666725824472506
60,29,-17.76323220527499
56,26,-21.43612323800106
66,55,-2.210631629350676
