x,y,fitness
46,39,-15.27007052182058
46,54,-7.992970256440795
43,43,-14.352710094578256
37,56,-12.632457658363938
52,48,-7.73979718092861
49,44,-10.785508611415045
69,40,-8.8567124413363
61,41,-9.04944123194829
43,50,-11.05713247876249
51,74,-3.6149540569695806
55,35,-14.3459057196151
57,46,-7.190065682741484
43,49,-11.408173311733648
45,56,-7.953474716208184
46,65,-5.883402834739077
57,51,-5.156851495988509
41,35,-20.57647269583463
36,53,-14.156692471853841
50,47,-9.045012873909041
45,42,-13.888707750351667
52,41,-11.325944544876464
47,48,-9.763714620832012
36,46,-17.23296582792739
56,44,-8.413638390258805
42,46,-13.463521681904826
50,41,-12.082351549287672
49,53,-6.9600409915051085
53,38,-12.921746943667296
46,57,-7.198099312458073
38,29,-26.93853404784398
49,47,-9.46425472527702
45,81,-7.441202411237646
45,62,-6.6261132736985955
53,49,-7.100186230746331
54,48,-7.125320363402871
56,59,-2.924345845982889
38,58,-11.416846599299799
57,34,-14.483393994612673
55,61,-2.773283787794865
50,45,-10.032816396169817
41,61,-9.049280958906955
54,36,-13.994296822787854
41,55,-10.332783588454108
43,57,-8.732249505971083
65,49,-4.435111464030725
45,63,-6.520453269674105
71,49,-4.2391176443059
55,51,-5.68474086304864
64,45,-6.314725854735697
37,58,-12.154228567896844
50,56,-5.596967808410256
60,56,-2.7804343096625654
53,56,-4.571008316041402
52,56,-4.86394416367112
50,55,-6.020449571519528
36,59,-12.56306373731069
52,50,-6.9070678499304305
72,39,-9.525294978034884
46,73,-5.686366399604158
42,48,-12.332901192603956
51,61,-4.121811796654559
45,49,-10.325266241874107
55,47,-7.16109107312682
52,62,-3.6823306321841396
43,44,-13.851511080785135
49,43,-11.412340824139445
30,47,-21.112457698032316
36,28,-29.37620515955046
58,44,-7.836455773684746
46,52,-8.7732486336686
55,60,-2.928632858240981
58,46,-6.877008725699133
41,54,-10.621724826509304
67,55,-2.1530208708543923
48,56,-6.509354855289926
55,46,-7.704004829897601
47,58,-6.435501797208961
63,53,-3.1778024461516967
47,59,-6.329323814206925
51,44,-10.084842818593108
60,43,-8.043810882485712
40,50,-12.75145970805765
64,47,-5.394464825423896
60,50,-4.748854852483223
40,43,-16.177969671141117
61,56,-2.4996011251105674
55,58,-3.371514667414292
39,36,-21.350261111626345
64,48,-4.9729071340826465
44,61,-7.3665928377959515
48,36,-16.105846108482332
66,44,-6.841747582934652
35,48,-16.797274992882116
58,41,-9.731944911935408
53,65,-2.9154516744975627
51,54,-5.872919387746982
62,49,-4.72932148094997
47,60,-5.995021006450375
45,46,-11.66480033773449
46,51,-9.042074936847577
54,53,-5.238563288437808
38,48,-14.898956150120647
60,47,-5.95017583994341
44,38,-16.68644811053683
58,39,-10.888578797503735
44,49,-10.871193884284914
48,31,-19.90350055910605
35,43,-19.734280680433095
33,47,-18.944549542414787
53,44,-9.272235305358377
61,57,-2.302872730798237
52,28,-20.90757253883236
56,31,-16.955743680044904
63,63,-0.8224133645194103
39,45,-15.779887525088672
59,35,-13.291072304765462
76,32,-14.816683487055556
36,47,-16.55736277344612
50,53,-6.61448887812911
50,40,-12.802753204153078
51,43,-10.637794889236915
36,52,-14.574184208757002
46,58,-6.92422539604914
41,50,-12.177655736134382
51,30,-19.499078350637557
36,31,-26.67937340638371
43,23,-29.424298569479717
40,49,-13.356264368392639
46,56,-7.481036375856734
50,61,-4.522127123894797
51,47,-8.561173301659842
66,45,-6.17979407139636
55,40,-10.93991270502851
42,43,-14.911766389333977
59,47,-6.246000080231129
64,42,-7.965445986152816
42,19,-34.29368580136759
45,61,-6.871035486054643
52,59,-4.233618055098905
74,42,-7.974249223118525
57,55,-3.633352068135885
37,57,-12.452881363931661
44,64,-7.022890736282878
41,47,-13.569161721852549
70,54,-2.3884819127788326
41,32,-22.932659542068585
47,62,-5.6449770152494105
54,61,-3.057527302023807
36,50,-15.252452710894046
44,32,-21.13060683488789
38,41,-18.470692126702133
57,47,-6.6050106267719855
67,50,-3.844669195394538
37,63,-11.169801863403222
43,22,-30.584976604306497
55,52,-5.121703569710211
53,34,-15.64017123887853
56,36,-13.408323380623951
73,43,-7.3126262851411745
57,56,-3.2954410527675426
61,40,-9.5943986575145
64,54,-2.678287683994313
53,36,-14.220153522141326
31,47,-20.39729312971898
41,64,-8.529829715947557
45,32,-20.62095832190317
51,33,-17.11215579166191
72,52,-3.102126569945432
68,38,-10.128986106996775
50,35,-16.012413462590725
35,61,-12.972040416348186
53,69,-2.6855318363923018
53,39,-12.246241469726202
50,37,-14.690836281084131
53,62,-3.290095629870568
31,58,-16.491136370068077
51,55,-5.490735090015729
54,39,-11.971724365129019
48,35,-17.20027290740566
31,35,-27.573778914593348
45,24,-27.381835541075784
32,64,-14.641724677261461
49,48,-8.987575351677616
50,62,-4.378953853118717
51,51,-6.878853586537169
60,60,-1.7243182137546507
76,37,-11.18925397862256
39,56,-11.29752358492935
34,22,-36.198008275802025
47,34,-18.151360258866582
51,57,-5.006767005407296
78,52,-3.7096713021171945
64,40,-9.112435023677662
57,58,-2.866380028283873
34,49,-17.090608232162804
54,45,-8.579803826223838
50,58,-5.113773884912018
51,64,-3.7243806388507186
30,54,-18.625570369599583
36,61,-12.519596632155992
61,49,-5.063376492742599
41,41,-16.553680740753926
48,27,-23.406748159758255
49,59,-5.2875996746583285
47,50,-9.140072154974998
37,29,-27.751586506614238
46,55,-7.7397942983342425
37,49,-14.95135388412303
46,40,-14.459525345938056
39,69,-9.640024938550555
55,39,-11.713432732900115
45,53,-8.833894090251757
47,51,-8.589661037272394
68,49,-4.2601519036035915
43,38,-17.277795278579323
45,48,-10.728379363775492
47,36,-16.823938005685665
69,41,-8.359513512817555
58,38,-11.452823474736219
25,20,-45.601825708099625
59,70,-1.0590262741751366
60,29,-17.76323220527499
56,26,-21.29169962299427
66,55,-2.210631629350676
46,61,-6.344483001844256
50,29,-20.794983470455833
43,60,-8.031670056811658
71,50,-3.8017512593449094
61,47,-5.819926654174917
47,49,-9.372444302703041
53,42,-10.535458940162535
56,51,-5.224918202121077
52,51,-6.5964254804003755
39,60,-10.497613775357317
43,67,-7.165352331626775
79,45,-6.957820657837037
45,67,-6.103677526478156
47,38,-15.342022651474736
36,60,-12.36832954424847
51,66,-3.5242982584224367
47,26,-24.54504336256028
30,25,-36.77655703101344
59,39,-10.58966776349651
48,21,-29.425030960273915
57,45,-7.755434301560014
41,53,-10.94299541353543
46,26,-25.133109024205122
39,44,-16.222648700906774
51,39,-13.150430444791317
67,49,-4.275577048614961
70,35,-12.164578090946348
48,69,-4.634913137941652
46,60,-6.603379297228641
43,56,-8.9864549895506
63,26,-20.067568157922388
68,34,-12.953846541765552
61,29,-17.581620569612905
45,34,-19.056569139041702
57,49,-5.726749680918788
41,52,-11.378687773333109
48,57,-6.1780543293073995
53,61,-3.429630794093639
67,34,-13.033392252812707
51,41,-11.825478058138058
50,57,-5.404204819435946
49,49,-8.597359165854318
30,16,-46.055142842186235
28,59,-18.781771880288694
62,63,-0.9262061842701185
44,35,-19.007586381929606
33,33,-27.285501630099056
35,59,-13.34406832019005
44,67,-6.767957091218529
69,45,-6.0538778700102975
40,37,-19.784531080662653
49,41,-12.48928303960674
39,24,-31.335036204827635
