x,y,fitness,x position,y velocity,model
61,68,-97.498866207857,0.33,-0.96,"[ 0.01434791  0.0623282   0.06532749  0.01514857 -0.01737809  0.01898999
  0.08180936  0.04591707  0.06707149  0.0602786   0.07743218  0.05381036
  0.01179912  0.03641053 -0.08907572  0.00809807  0.04297351 -0.0309482
  0.05521513 -0.03841386  0.04932921  0.03963013  0.06822401  0.08044032
 -0.02366537 -0.09473881 -0.0076043  -0.03005939 -0.00551607  0.02324718
  0.05191033  0.02906698]"
50,99,-124.82547111344235,0.0,-0.03,"[-1.44588668e-01 -2.53297523e-03  5.42201850e-02 -3.59701310e-02
  6.76277296e-02 -1.72803274e-04 -6.31313633e-03  6.15103922e-02
 -1.44446892e-02  9.94637334e-03 -1.64287800e-02  6.95280543e-04
  3.39447637e-02 -1.12163483e-01  5.78228801e-02  5.30785925e-03
 -5.82390585e-03 -2.92308438e-02 -8.61097295e-06 -8.68082085e-02
 -6.92998420e-02 -3.02788115e-02  2.04089049e-02 -4.80428164e-02
  3.41927203e-02 -2.75474083e-02 -2.56304442e-02  1.40621436e-03
  2.48537104e-02 -2.91073869e-02 -9.28097454e-03  4.83418103e-02]"
57,40,-119.81100562775342,0.21,-1.8,"[-0.04255172  0.04717672  0.08879651 -0.03846398 -0.03696612  0.01750176
  0.08141072 -0.05351292 -0.0073486  -0.03092476  0.03511022 -0.10358609
  0.05052925  0.02686151  0.06443347 -0.03376468 -0.02750113 -0.0929027
  0.01976094 -0.06610077  0.0935706   0.02729147  0.00972692 -0.01395274
  0.02759943  0.03536051 -0.0180792   0.03669443 -0.04749977  0.04931154
  0.00460476 -0.02045758]"
55,40,-214.0610304590627,0.15,-1.8,"[-0.05901512 -0.02487556 -0.00017559  0.06017704  0.00415153  0.02104395
  0.06827319  0.0250269  -0.11534728  0.04000894  0.00969305 -0.01355968
 -0.03752774 -0.04212086 -0.05484372 -0.00027262 -0.09583748 -0.03324155
 -0.03419843  0.01646523 -0.02420027  0.00769621  0.04532457  0.00687139
 -0.02177962  0.06575194 -0.04441985  0.03331152  0.0222313  -0.04375363
 -0.04315515 -0.079029  ]"
58,39,-119.20516625160826,0.24,-1.83,"[ 0.00479347  0.0304772  -0.06342826  0.03846456  0.02354305  0.0564348
 -0.0133672   0.01413916  0.061504    0.01697865 -0.00690641 -0.04634436
 -0.00416079  0.00096494 -0.00343528  0.02503585 -0.00391661 -0.01641589
  0.00124878 -0.03447714 -0.03724034  0.06500241  0.0180074   0.03533176
  0.01177677  0.02508391  0.07711231 -0.02358216  0.04870512  0.10379683
 -0.05727547 -0.02830914]"
60,42,-130.15852751213657,0.3,-1.74,"[-0.00133104  0.00355834  0.06330997  0.09007759 -0.01873425  0.09508599
 -0.03254991  0.00435626  0.05098009 -0.0399287   0.06561241 -0.03648029
 -0.04525728  0.01020439 -0.02556492 -0.04701817 -0.02452109 -0.0071845
  0.0094138   0.09490098 -0.02691284  0.0550655  -0.03392685 -0.03293466
  0.02041668  0.00907054  0.10483387 -0.0161877   0.06150204  0.01048613
 -0.01284301 -0.01028105]"
61,51,-522.4686588132499,0.33,-1.47,"[ 0.06001982  0.04168306  0.02511697  0.05006452 -0.00478322  0.04339281
  0.08501678  0.00039465  0.03720931 -0.03433698 -0.04766012  0.00395234
  0.02922376 -0.00311626 -0.01699998 -0.07096333 -0.07592038 -0.05879722
 -0.00031709 -0.03596206 -0.03971239 -0.02931368 -0.11505771  0.03926291
 -0.04648191 -0.04494225  0.0877582  -0.01752617 -0.04867814  0.06713056
  0.09083207 -0.00841695]"
60,41,-126.26107834178906,0.3,-1.77,"[-5.58161183e-02  1.41391223e-02 -7.21851204e-02 -1.69150712e-02
 -1.39978521e-02 -1.38750728e-02 -4.22933648e-02  2.88169365e-02
 -5.40055493e-02  6.07623130e-02 -1.90242560e-02  6.83399379e-03
 -6.69169125e-02 -7.24998520e-02 -3.33647979e-02 -2.41738194e-02
 -7.87265070e-02 -7.45969351e-02 -4.90456515e-03  8.53725679e-03
 -5.11474865e-03 -3.12567984e-02  5.09852984e-02 -5.46149064e-02
  8.66849831e-03  1.01984011e-01  2.42266980e-03 -1.65974297e-02
 -1.53797824e-03  6.31626421e-05  1.33566367e-02  6.02603415e-02]"
69,56,-425.2397717703271,0.57,-1.32,"[ 0.04221398  0.04507603  0.02565343 -0.03129716  0.05620529  0.12586165
 -0.10344956 -0.02790929 -0.0094318   0.03067182 -0.01043731 -0.04093168
 -0.01333547  0.01813941 -0.02456133 -0.05712188  0.01358775  0.03046918
 -0.0740745  -0.0784983  -0.02561183  0.00526265  0.08669295 -0.01153399
  0.03424447  0.02169928  0.05534514 -0.03853524  0.06514588  0.01238741
  0.02188138 -0.04555511]"
58,38,-117.55702523339022,0.24,-1.86,"[ 0.06358295  0.06621467  0.04981495 -0.06557454 -0.0247467  -0.06350921
  0.0060199   0.04361666  0.01563736  0.06748353 -0.04229146 -0.09881997
 -0.03574579 -0.01860683 -0.01633363  0.01801341  0.06958432  0.009178
 -0.02277335  0.01894666 -0.01932906 -0.12116013  0.00254424  0.03638558
 -0.02424119  0.05028695 -0.01649542 -0.03343289 -0.022131   -0.01806336
 -0.02473485 -0.03386048]"
