x,y,fitness
100,100,-44.13701084369032
117,35,-239.99576852388617
104,45,-178.58122991012453
107,39,-115.37195251568731
120,29,-516.718210025849
110,89,-22.0732237107878
108,38,-117.45955671709353
106,46,-127.8512432643803
107,40,-64.73261713582392
108,39,-119.91647319336667
109,37,-123.72834358216559
114,92,-14.807520162017994
106,43,-61.54715340081819
113,70,-85.25061767154347
127,61,-410.30152916670255
112,78,-68.31400815584787
115,46,-206.9424789872914
105,99,-298.71563513529156
105,59,-11.821123443806457
112,40,-191.2419902242712
104,44,-125.94804109698224
106,40,24.00894191833234
108,37,-159.31700721645439
112,46,-201.59291460653318
105,40,-206.24374039341708
113,54,-89.68710820674256
112,41,-194.5221662669034
82,51,-159.6692425325024
116,57,-115.4398554350259
110,41,-100.17132777065538
111,44,-126.89242371498257
109,41,-113.41862499000952
107,42,-109.79953703210666
99,78,6.224575180130799
111,87,-377.7305119295302
112,92,-394.3686122134407
100,99,-363.0050199624598
104,74,-42.45854726504824
105,88,-315.3250273995882
111,80,-43.59576637346842
109,40,-110.07951833228461
109,39,-109.5699638593359
109,44,-114.26214053500028
109,55,-32.73755631017545
105,43,-167.52041699071037
105,36,-278.4647504754184
107,41,-12.626449648772677
108,40,-115.72715709858467
118,53,-190.0085886545516
110,44,-125.70702151266237
107,48,-95.60610012134397
106,38,-198.44251586044123
109,50,-110.18257400830683
108,45,-101.47922646403298
110,45,-160.16801000959038
106,42,3.4542782299270414
104,55,13.008127509785453
96,99,-349.21722524176937
108,43,-108.88672777609295
110,38,-278.7181047301081
108,44,-108.9426413182492
106,39,-11.503389855282293
111,56,-94.65966912566769
109,51,-92.51652337327766
109,66,-54.66428061120523
109,36,-266.8174515387075
87,81,-461.42828883972584
105,49,-34.759233662877946
108,47,-93.45309765476594
99,64,-31.593814955443804
108,51,-84.48693453143976
114,62,-98.94340531777392
111,62,-99.20522670907445
107,58,-83.02519274680103
111,95,216.8113065603925
112,90,-388.6435248733904
111,43,-126.56933370893618
88,63,-248.78768474894738
113,66,-84.45272001166629
104,96,-331.85530517790323
103,94,-312.33807191250344
112,66,-76.25650309701263
108,52,-86.04980406693164
98,63,-246.1822173479151
112,38,-295.46749343600595
114,38,-360.1240003690948
111,40,-298.8183003597071
120,68,-131.8033959307507
110,37,-316.1007592338462
110,43,-114.85955008484214
92,59,-369.58034278193094
99,51,-294.169023014961
110,42,-125.32920524162517
106,45,-16.821630261719434
108,46,-104.38039643862317
104,89,-310.7559161273161
100,47,-113.129082018665
115,47,-130.6993224542364
112,42,-300.4715787718519
116,69,-122.5856990016297
107,53,-81.84938505895447
113,53,-106.0091116975659
109,52,-97.12875612676619
103,63,-71.96119129596934
114,43,-289.82310918597966
122,77,-102.2024073225277
105,39,-211.63140763396916
108,91,-12.138213741017196
110,62,-70.60582775085183
103,64,2.5904297581615054
108,41,-112.55430386897926
120,62,-129.94262345928075
105,42,-187.83557676213962
121,83,-1061.95076057104
118,70,-99.7014410175649
110,60,-85.65569739001808
111,66,-78.32337095743819
112,67,-101.14254744300804
118,65,-123.2694330096093
106,49,-5.503906061579485
124,73,202.5187567124613
111,41,-294.83909828953404
108,62,-60.651800533857575
127,69,-223.61058810588816
100,48,-122.70767665283472
100,67,-66.34038667939362
108,42,-112.99342872005633
104,47,-129.27224911753046
125,70,-119.38728498355707
111,39,-130.85279864433352
109,35,-314.0745520890915
105,72,-24.076884777561418
103,50,-41.24235967955717
116,41,-357.2710310024829
101,99,-322.92790321607436
113,45,-269.5093229805992
101,45,-72.88131846560094
107,51,-88.94995777838251
104,51,-57.377831505951605
109,49,-96.31293301790444
132,105,-473.9339277981053
101,60,-84.02413196366996
112,43,-315.60981019768735
111,48,-159.70709631795822
107,72,-40.64409140920187
110,85,-453.01459250175856
110,72,-42.135777273449975
108,60,-66.10200480382305
99,41,-310.3569374494428
130,71,-366.9255712942898
88,51,-347.64274517403896
104,46,-8.71795175509807
110,40,-191.62467418169794
107,44,-105.41619454125149
103,38,-307.7536022609428
129,101,-196.16591078646232
108,73,-23.63478729531117
117,67,-120.45965999196396
110,63,-83.46497766606456
109,54,-81.60849422704604
90,56,-317.1082895140348
105,64,-16.981336776994397
105,38,-250.49627979393128
95,103,-327.8141812985357
127,72,-236.8917713066209
106,57,-101.22317694065495
125,39,-189.93109709740696
114,68,-102.52325355845231
120,31,-1032.1522329816953
112,84,-60.111075349096176
105,84,12.523361736425102
119,73,-145.13742493022136
104,54,-99.11771116008161
127,64,-237.00750031123465
111,65,-90.19922288883382
