x,y,fitness
100,100,-147.7926061927077
117,35,-239.99576852388617
104,45,-178.58122991012453
107,39,-117.40539242620609
120,29,-516.718210025849
110,89,-391.1837622393142
108,38,-117.45955671709353
106,46,-127.8512432643803
107,40,-64.73261713582392
108,39,-119.91647319336667
109,37,-123.72834358216559
114,92,-14.807520162017994
106,43,-128.3767875269525
113,70,-109.10405910734318
127,61,-410.30152916670255
112,78,-68.31400815584787
115,46,-206.9424789872914
105,99,-298.71563513529156
105,59,-11.821123443806457
112,40,-314.2407511492378
104,44,-213.16382629160066
106,40,-8.159557844495609
108,37,-159.31700721645439
112,46,-201.59291460653318
105,40,-218.42224441339474
113,54,-112.57104170514202
112,41,-319.60586574274157
82,51,-185.24687450741402
116,57,-137.1404339522048
110,41,-100.17132777065538
111,44,-126.89242371498257
109,41,-113.41862499000952
107,42,-109.79953703210666
99,78,-337.33397378598283
111,87,-379.0734079682834
112,92,-394.3686122134407
100,99,-363.0050199624598
104,74,-42.45854726504824
105,88,-315.3250273995882
111,80,-43.59576637346842
109,40,-110.07951833228461
109,39,-109.5699638593359
109,44,-124.44450139581255
109,55,-32.73755631017545
105,43,-167.52041699071037
105,36,-278.4647504754184
107,41,-12.626449648772677
108,40,-116.17675926665632
118,53,-436.8939931155603
110,44,-125.70702151266237
107,48,-95.60610012134397
106,38,-199.0102546581104
109,50,-111.01193189829905
108,45,-103.55880689684041
110,45,-181.15520291018765
106,42,3.4542782299270414
104,55,-113.51863477478867
96,99,-349.21722524176937
108,43,-108.88672777609295
110,38,-278.7181047301081
108,44,-108.9426413182492
106,39,-11.503389855282293
111,56,-94.65966912566769
109,51,-112.45184609937436
109,66,-54.66428061120523
109,36,-266.8174515387075
87,81,-486.2755653161737
105,49,-34.759233662877946
108,47,-96.4288995581603
99,64,-31.593814955443804
108,51,-84.48693453143976
114,62,-98.94340531777392
111,62,-100.40540782523959
107,58,-83.02519274680103
111,95,-205.41240755637446
112,90,-388.6435248733904
111,43,-126.56933370893618
88,63,-394.2400254774448
