x,y,fitness
100,100,-16.550339318048636
117,35,-231.26014194499598
104,45,-82.38174428773733
107,39,-113.31729161726967
120,29,-516.718210025849
110,89,-22.0732237107878
108,38,-117.45955671709353
106,46,-58.324728849113
107,40,-64.73261713582392
108,39,-118.12204354754496
109,37,-121.03865695069392
114,92,-14.807520162017994
106,43,25.943282824923244
113,70,-69.41903514512802
127,61,-150.99502936944552
112,78,-25.025873189511017
115,46,-145.02611426061196
105,99,85.00166903814875
105,59,41.72224970587999
112,40,-162.40659002822136
104,44,-22.500448537519887
106,40,24.00894191833234
108,37,-159.31700721645439
112,46,-141.10655883707503
105,40,-202.8119600657102
113,54,-89.43411128202332
112,41,-148.2760387951078
82,51,-140.334970861379
116,57,-109.8849590481152
110,41,-100.17132777065538
111,44,-126.89242371498257
109,41,-113.41862499000952
107,42,-109.79953703210666
99,78,7.328145489461988
111,87,-1.2376957682934062
112,92,-40.034956211726026
100,99,222.94166601868002
104,74,26.48446964127885
105,88,28.19780718802147
111,80,-16.977260119875282
109,40,-110.07951833228461
109,39,-109.5699638593359
109,44,-114.26214053500028
109,55,-32.73755631017545
105,43,-16.395409042043767
105,36,-247.80271763268004
107,41,-12.626449648772677
108,40,-114.5279568489941
118,53,-90.7574127207722
110,44,-120.30978954657652
107,48,-95.60610012134397
106,38,-77.89473572064128
109,50,-98.09550909760299
108,45,-98.96227666066828
110,45,-110.70988252070107
106,42,13.653089009025052
104,55,13.008127509785453
96,99,-331.2733625805648
108,43,-107.37191899861459
110,38,-135.45314933541843
108,44,-78.7825120853878
106,39,2.4136688740787378
111,56,-85.59268158227725
109,51,-78.1523691405251
109,66,-41.841424607867616
109,36,-266.8174515387075
87,81,-42.95026795391308
105,49,-34.759233662877946
108,47,-93.45309765476594
99,64,-24.36437051017998
108,51,-84.48693453143976
114,62,-92.76201142435843
111,62,-75.79181493226015
107,58,-77.78176103928726
111,95,216.8113065603925
112,90,178.28044280843454
111,43,-79.34340608616208
88,63,-97.06470641060595
113,66,-81.12878662521734
104,96,219.26662492091572
103,94,-30.999838566166787
112,66,-29.80445482430406
108,52,-86.04980406693164
98,63,-22.91597858039121
112,38,-142.32666608300474
114,38,-199.76057805410846
111,40,-164.3869614401617
120,68,-131.8033959307507
110,37,-304.3138386924305
110,43,-114.85955008484214
92,59,-27.729242758154882
99,51,32.49562035938979
110,42,-121.52149364219069
106,45,1.6393266032972917
108,46,-100.85873922247988
104,89,209.4060509556566
100,47,-62.12449924205795
115,47,-130.6993224542364
112,42,-129.02850621219807
116,69,-102.76409765455963
107,53,-81.84938505895447
113,53,-93.58510751596425
109,52,-93.40295729138165
103,63,19.41676159639337
114,43,-150.87865663404915
122,77,-51.92802148417273
105,39,-211.63140763396916
108,91,208.681645480876
110,62,-70.41170370724242
103,64,2.5904297581615054
108,41,-111.19141413623773
120,62,-129.94262345928075
105,42,-110.42425129402596
121,83,-40.60475172649258
118,70,-82.4191552138481
110,60,-75.88664743503236
111,66,-77.90177637028528
112,67,-69.85148085163333
118,65,-70.5664403781005
106,49,0.09748768341346192
124,73,202.5187567124613
111,41,-108.80500628574373
108,62,-60.22619780082111
127,69,-186.38652126299513
100,48,-87.63639421370684
100,67,-12.808122825562151
108,42,-109.52363891329742
104,47,22.43801416529604
125,70,203.47027171254777
111,39,-108.21128968412043
109,35,-314.0745520890915
105,72,-13.281528857796204
103,50,-41.24235967955717
116,41,-199.2559660761425
101,99,-322.92790321607436
113,45,-130.16720743685073
101,45,-72.88131846560094
107,51,-88.94995777838251
104,51,-57.377831505951605
109,49,-96.31293301790444
132,105,-449.28650062519364
101,60,-34.669634518757576
112,43,-145.71900668462945
111,48,-109.24169911232698
107,72,-19.14691873868979
110,85,204.82007534776875
110,72,-42.135777273449975
108,60,-44.79922790882324
99,41,-285.49486139224393
130,71,-187.71458047449883
88,51,-69.83353963837419
104,46,2.9391003930364974
110,40,-191.62467418169794
107,44,-104.41079351107803
103,38,-304.3039376891723
129,101,-175.22996003141077
108,73,-22.94536326502663
117,67,-110.58453813044177
110,63,-50.52602344833719
109,54,-81.60849422704604
90,56,-146.2281988824333
