x,y,fitness
100,100,-16.550339318048636
117,35,-239.99576852388617
104,45,-164.4268834017205
107,39,-115.37195251568731
120,29,-516.718210025849
110,89,-22.0732237107878
108,38,-117.45955671709353
106,46,-127.8512432643803
107,40,-64.73261713582392
108,39,-118.12204354754496
109,37,-123.72834358216559
114,92,-14.807520162017994
106,43,-34.066888375998246
113,70,-85.25061767154347
127,61,-410.30152916670255
112,78,-62.71758143334985
115,46,-145.02611426061196
105,99,-298.71563513529156
105,59,-11.821123443806457
112,40,-191.2419902242712
104,44,-125.94804109698224
106,40,24.00894191833234
108,37,-159.31700721645439
112,46,-151.1146487538494
105,40,-202.8119600657102
113,54,-89.68710820674256
112,41,-148.2760387951078
82,51,-159.6692425325024
116,57,-115.4398554350259
110,41,-100.17132777065538
111,44,-126.89242371498257
109,41,-113.41862499000952
107,42,-109.79953703210666
99,78,6.224575180130799
111,87,-377.7305119295302
112,92,-394.3686122134407
100,99,-320.48630412863906
104,74,26.48446964127885
105,88,28.19780718802147
111,80,-43.59576637346842
109,40,-110.07951833228461
109,39,-109.5699638593359
109,44,-114.26214053500028
109,55,-32.73755631017545
105,43,-16.395409042043767
105,36,-247.80271763268004
107,41,-12.626449648772677
108,40,-114.5279568489941
118,53,-90.7574127207722
110,44,-125.70702151266237
107,48,-95.60610012134397
106,38,-198.44251586044123
109,50,-98.09550909760299
108,45,-101.47922646403298
110,45,-160.16801000959038
106,42,13.653089009025052
104,55,13.008127509785453
96,99,-349.21722524176937
108,43,-108.88672777609295
110,38,-135.45314933541843
108,44,-102.88837665338984
106,39,-11.503389855282293
111,56,-87.63688985307877
109,51,-92.51652337327766
109,66,-54.66428061120523
109,36,-266.8174515387075
87,81,-450.6471452339668
105,49,-34.759233662877946
108,47,-93.45309765476594
99,64,-31.593814955443804
108,51,-84.48693453143976
114,62,-98.8887814947088
111,62,-75.79181493226015
107,58,-77.78176103928726
111,95,216.8113065603925
112,90,-49.233708131232945
111,43,-79.34340608616208
88,63,-159.5242437028691
113,66,-84.45272001166629
104,96,6.0177808063881315
103,94,-30.999838566166787
112,66,-76.25650309701263
108,52,-86.04980406693164
98,63,-34.437661778481356
112,38,-142.32666608300474
114,38,-360.1240003690948
111,40,-254.5633217075864
120,68,-131.8033959307507
110,37,-316.1007592338462
110,43,-114.85955008484214
92,59,-27.729242758154882
99,51,-239.7883401360137
110,42,-125.32920524162517
106,45,1.6393266032972917
108,46,-104.38039643862317
104,89,-310.7559161273161
100,47,-63.732141477790904
115,47,-130.6993224542364
112,42,-300.4715787718519
116,69,-102.76409765455963
107,53,-81.84938505895447
113,53,-106.0091116975659
109,52,-93.40295729138165
103,63,-71.96119129596934
114,43,-157.97712146723603
122,77,-102.2024073225277
105,39,-211.63140763396916
108,91,-12.138213741017196
110,62,-70.60582775085183
103,64,2.5904297581615054
108,41,-112.55430386897926
120,62,-129.94262345928075
105,42,-187.83557676213962
121,83,-1061.95076057104
118,70,-99.7014410175649
110,60,-75.88664743503236
111,66,-78.32337095743819
112,67,-87.59580330585368
118,65,-123.2694330096093
106,49,-5.503906061579485
124,73,202.5187567124613
111,41,-151.99184719198928
108,62,-60.651800533857575
127,69,-223.61058810588816
100,48,-122.70767665283472
100,67,-66.34038667939362
108,42,-112.99342872005633
104,47,5.965007203398002
125,70,146.8508014933384
111,39,-113.47309159685136
109,35,-314.0745520890915
105,72,-24.076884777561418
103,50,-41.24235967955717
116,41,-357.2710310024829
101,99,-322.92790321607436
113,45,-269.5093229805992
101,45,-72.88131846560094
107,51,-88.94995777838251
104,51,-57.377831505951605
109,49,-96.31293301790444
132,105,-473.9339277981053
101,60,-84.02413196366996
112,43,-284.9011337243295
111,48,-133.95359458480183
107,72,-19.14691873868979
110,85,-23.29390859360879
110,72,-42.135777273449975
108,60,-65.03055438911743
99,41,-310.3569374494428
130,71,-271.770134957176
88,51,-157.26468921335442
104,46,-8.71795175509807
110,40,-191.62467418169794
107,44,-105.41619454125149
103,38,-307.7536022609428
129,101,-196.16591078646232
108,73,-23.63478729531117
117,67,-114.71765192729795
110,63,-83.46497766606456
109,54,-81.60849422704604
90,56,-146.2281988824333
105,64,-16.981336776994397
105,38,-227.13294150196893
95,103,-327.8141812985357
127,72,-234.97862390933332
106,57,-101.22317694065495
125,39,-189.93109709740696
114,68,-92.20970911561595
120,31,-496.09107222294057
112,84,-60.111075349096176
105,84,12.523361736425102
119,73,-145.13742493022136
104,54,-86.27517970467073
127,64,-237.00750031123465
111,65,-79.2258819180939
120,65,-124.0614777838044
128,43,-256.3536934168743
105,73,-7.7533354887817865
113,71,-70.61561202468208
114,46,-180.83846544501824
107,71,-53.156574396894854
115,72,-56.36488491608924
118,77,-104.81357102061556
128,95,-143.0916888316048
93,49,-90.87980781164742
125,29,-316.56878815106984
114,48,-129.19375607162237
111,86,-72.9073024185238
106,44,16.770931281945693
105,68,-34.87239723274311
109,57,-87.84728923914744
106,77,-24.329540557439614
111,61,-87.16061253654651
112,64,-86.65739402972017
106,90,38.955402220217906
110,39,-126.19984476272292
112,68,-57.26531889889528
112,91,-390.4213112025386
122,82,-82.20862587466279
118,63,-124.43755169827298
125,78,-119.2032403820218
116,65,-125.59440926701764
106,55,-69.2783255950023
110,55,-99.24760946951118
108,53,-81.13416573627579
107,57,-86.34301936518351
124,68,170.5297380730822
114,70,-83.41051142225473
122,49,-188.84292083504835
101,85,-284.60421962721404
113,50,-82.97983013319987
114,65,-76.44535451995974
109,47,-65.08008923151772
109,56,-79.38526776754546
107,43,-107.97418085314871
103,49,14.958826510697676
107,80,19.374109759199484
116,76,-115.01290234008735
112,49,-106.71561845543889
109,42,-112.86930505169164
101,92,-335.77735492026113
109,48,-104.83481317559674
97,93,-296.1449927531893
126,69,-53.22846658615738
113,35,-386.2052119850057
110,51,-92.34275848643813
103,96,-319.12538651920886
109,53,-93.56663153828616
124,41,-157.8472406481965
112,60,-97.97491154121587
104,65,-26.695940471044437
103,7,-669.3398569002833
111,67,-69.72823800137265
110,48,-107.71603062330496
119,47,-175.59984284566343
111,38,-178.43940758402996
103,41,-272.36366318477576
121,73,-159.8257178890308
112,73,-49.25549127313052
106,73,-2.3717568624637693
109,83,-5.483550179407857
114,59,-97.12506049981462
118,75,-129.45474650133986
